Designator,Mid X,Mid Y,Layer,Rotation
C1,154.84,-85.27,T,0.00
C2,154.44,-110.80,T,90.00
C3,144.92,-113.33,T,270.00
C4,146.95,-83.49,T,0.00
C5,157.62,-84.25,T,90.00
C6,150.96,-83.49,T,180.00
C7,141.87,-145.47,T,270.00
C8,151.76,-140.39,T,180.00
C9,148.09,-147.50,T,0.00
C10,144.54,-146.23,T,180.00
C11,158.25,-146.22,T,270.00
C12,155.33,-145.72,T,0.00
C13,144.54,-125.78,T,270.00
C14,146.06,-120.70,T,90.00
C17,151.78,-128.19,T,270.00
D1,154.44,-57.45,T,180.00
D2,143.14,-83.49,T,0.00
D3,154.83,-83.49,T,0.00
R1,154.44,-54.91,T,0.00
R2,151.02,-85.27,T,0.00
R3,148.73,-106.35,T,90.00
R4,153.81,-133.53,T,0.00
R5,147.65,-60.25,T,180.00
R6,145.56,-54.91,T,0.00
R7,145.43,-142.42,T,270.00
R8,147.91,-72.06,T,270.00
R9,150.63,-72.06,T,270.00
R10,152.29,-148.01,T,180.00
R11,155.08,-101.91,T,90.00
R12,141.87,-142.16,T,90.00
R13,144.54,-144.70,T,180.00
R14,158.25,-143.17,T,90.00
R15,155.33,-144.07,T,0.00
R16,144.54,-120.70,T,90.00
R17,145.30,-122.99,T,180.00
R18,154.44,-125.40,T,270.00
R23,148.48,-128.19,T,270.00
R24,142.82,-72.06,T,90.00
R25,153.81,-135.05,T,180.00
R27,151.91,-101.27,T,180.00
U1,150.13,-91.62,T,0.00
U3,150.00,-143.94,T,0.00
U4,150.00,-113.33,T,0.00
